o,d,f
46AS,47AS,236
46AS,48AS,209
46AS,53AS,138
46AS,57AS,433
46BI,37BI,552
46BI,43BI,554
46BI,51BI,344
46BI,53BI,357
46BI,55BI,101
46BI,56BI,189
46BI,58BI,125
46BI,76BI,160
46CA,03CA,178
46CA,30CA,114
46CA,45CA,133
46CA,49CA,205
46CA,50CA,186
46CO,52CO,120
46GC,43GC,112
46GC,45GC,193
46GC,53GC,128
46GI,26GI,154
46GP,23GP,1052
46GP,45GP,532
46GP,47GP,258
46LE,06LE,214
46LE,47LE,183
46LE,49LE,101
46LL,01LL,439
46LL,32LL,123
46LL,47LL,203
46LL,51LL,376
46MA,47MA,299
46MA,53MA,552
46MA,79MA,610
46MU,40MU,137
46MU,41MU,702
46MU,43MU,512
46MU,47MU,468
46MU,48MU,1435
46NA,05NA,131
46PO,45PO,125
46TA,09TA,120
46TF,41TF,300
46ZA,48ZA,105
46ZA,73ZA,150
46ZA,74ZA,194
46ZA,75ZA,151
47AL,38AL,268
47AL,39AL,397
47AL,46AL,300
47AS,46AS,190
47AS,48AS,150
47BI,15CA,103
47CA,30CA,151
47CA,48CA,259
47CA,50CA,154
47CC,35CC,184
47CC,40CC,714
47CC,45CC,202
47CC,48CC,182
47CO,49CO,158
47CZ,33MA,128
47CÑ,16CÑ,173
47CÑ,21CÑ,172
47CÑ,49CÑ,154
47CÑ,50CÑ,202
47CÑ,51CÑ,361
47CÑ,57CÑ,109
47CÑ,59CÑ,127
47GC,40GC,100
47GC,44GC,137
47GC,48GC,173
47GI,28GI,287
47GI,33GI,285
47GI,66GI,183
47GP,23GP,300
47GP,45GP,301
47GP,46GP,294
47GR,24GR,112
47GR,25GR,304
47LE,06LE,420
47LE,36LE,131
47LE,42LE,134
47LE,46LE,140
47LL,01LL,310
47LL,21LL,144
47LL,32LL,477
47LL,46LL,146
47LL,49LL,147
47MA,46MA,184
47MA,48MA,111
47MA,79MA,317
47MU,24MU,114
47MU,46MU,198
47MU,48MU,264
47NA,22NA,132
47NA,23NA,171
47PO,30PO,194
47PO,48PO,305
47PO,50PO,207
47TF,01TF,220
47TF,48TF,162
47TF,51TF,159
47ZA,45ZA,235
47ZA,48ZA,106
47ZA,55ZA,118
47ZA,56ZA,146
48AS,45AS,160
48AS,46AS,227
48AS,47AS,214
48AS,51AS,147
48AS,53AS,104
48BA,52BA,171
48CA,30CA,129
48CA,44CA,352
48CA,47CA,330
48CA,50CA,269
48CC,35CC,173
48CC,40CC,124
48CC,47CC,240
48CZ,50CZ,185
48GC,47GC,183
48GC,49GC,183
48GC,50GC,176
48GC,54GC,211
48GP,49GP,136
48JA,31JA,146
48JA,49JA,615
48JA,50JA,109
48JA,54JA,149
48LE,36LE,556
48LE,42LE,119
48LE,44LE,382
48LL,49LL,223
48MA,40MA,171
48MA,47MA,280
48MA,79MA,531
48MU,43MU,223
48MU,45MU,172
48MU,46MU,1191
48MU,47MU,504
48NA,45NA,173
48PO,30PO,473
48PO,47PO,531
48PO,49PO,111
48PO,50PO,818
48TA,52TA,564
48TF,01TF,239
48TF,47TF,152
48TF,49TF,147
48TF,51TF,115
48TO,74TO,269
48ZA,46ZA,105
48ZA,49ZA,148
49AS,48AS,108
49AS,50AS,954
49AS,51AS,117
49AS,52AS,163
49AS,56AS,254
49BA,25BA,243
49CA,24CA,185
49CA,44CA,220
49CA,46CA,354
49CA,50CA,1047
49CO,45CO,217
49CO,52CO,496
49CZ,35CZ,421
49CÑ,16CÑ,506
49CÑ,47CÑ,119
49CÑ,50CÑ,178
49CÑ,51CÑ,201
49CÑ,59CÑ,281
49GC,48GC,225
49GC,50GC,238
49GC,51GC,179
49GP,48GP,104
49GP,51GP,228
49GP,53GP,145
49GR,12GR,219
49JA,48JA,189
49JA,50JA,180
49LE,06LE,105
49LE,41LE,333
49LE,45LE,340
49LE,46LE,118
49LL,01LL,333
49LL,32LL,383
49LL,47LL,266
49LL,48LL,112
49MA,51MA,447
49MA,52MA,616
49MU,29MU,108
49MU,50MU,2131
49PO,23PO,179
49PO,30PO,176
49TF,01TF,116
49TF,48TF,241
49TF,51TF,165
49TF,52TF,146
49ZA,47ZA,116
49ZA,48ZA,185
49ZA,57ZA,243
50AS,49AS,482
50AS,52AS,322
50AS,56AS,255
50BA,04BA,363
50BI,09BI,150
50BI,13BI,238
50CA,03CA,116
50CA,24CA,608
50CA,37CA,378
50CA,44CA,494
50CA,46CA,216
50CA,47CA,184
50CA,48CA,210
50CA,49CA,739
50CO,51CO,314
50CO,52CO,248
50CZ,48CZ,134
50CZ,52CZ,131
50CÑ,16CÑ,140
50CÑ,47CÑ,146
50CÑ,51CÑ,131
50CÑ,59CÑ,450
50GC,48GC,111
50GC,49GC,279
50GC,54GC,179
50GC,56GC,134
50GC,57GC,113
50GI,39GI,139
50GP,49GP,116
50GP,51GP,529
50GP,53GP,1047
50GP,54GP,139
50GR,53GR,302
50GR,66GR,131
50JA,31JA,158
50JA,49JA,278
50JA,51JA,860
50JA,52JA,116
50JA,54JA,161
50LE,01LE,547
50LE,51LE,217
50LE,52LE,187
50LE,53LE,175
50LL,01LL,294
50LL,51LL,118
50MA,30MA,380
50MA,45MA,188
50MA,51MA,503
50MA,52MA,207
50MU,29MU,425
50MU,49MU,457
50PO,30PO,148
50PO,47PO,232
50PO,48PO,598
50PO,51PO,153
50TA,03TA,102
50TF,51TF,176
50TF,52TF,397
50ZA,63ZA,109
51AS,48AS,152
51AS,52AS,120
51BI,09BI,161
51BI,37BI,521
51BI,46BI,238
51BI,53BI,365
51BI,59BI,145
51CA,01CA,198
51CA,52CA,379
51CA,53CA,350
51CO,02CO,216
51CO,50CO,310
51CO,52CO,289
51CÑ,16CÑ,111
51CÑ,36CÑ,132
51CÑ,39CÑ,111
51CÑ,47CÑ,106
51GC,49GC,154
51GI,65GI,119
51GP,49GP,277
51GP,50GP,614
51GP,52GP,245
51GP,53GP,215
51GP,54GP,106
51JA,50JA,675
51JA,52JA,684
51LE,01LE,297
51LE,50LE,183
51LE,52LE,406
51LE,53LE,424
51LL,01LL,858
51LL,46LL,502
51LL,50LL,167
51MA,30MA,181
51MA,49MA,242
51MA,50MA,501
51MA,52MA,112
51MU,52MU,299
51MU,53MU,137
51MU,57MU,198
51MU,58MU,234
51MU,59MU,369
51MU,64MU,207
51MU,65MU,658
51PO,47PO,111
51PO,50PO,144
51TA,28TA,119
51TA,36TA,116
51TF,01TF,101
51TF,47TF,163
51TF,49TF,139
51TF,50TF,105
51TF,52TF,194
51TO,60TO,214
51ZA,52ZA,199
51ZA,53ZA,403
51ZA,54ZA,129
51ZA,58ZA,134
51ZA,67ZA,121
52AS,42AS,203
52AS,49AS,113
52AS,50AS,333
52AS,51AS,124
52AS,53AS,129
52BI,46BI,386
52BI,53BI,143
52BI,55BI,204
52CA,01CA,212
52CA,25CA,103
52CA,51CA,211
52CA,53CA,357
52CO,02CO,324
52CO,30CO,185
52CO,45CO,141
52CO,49CO,175
52CO,50CO,100
52CO,51CO,133
52CO,53CO,125
52CZ,11CZ,101
52CZ,15CZ,169
52CZ,53CZ,151
52CZ,56CZ,314
52CZ,57CZ,152
52CÑ,01CÑ,123
52CÑ,03CÑ,105
52GC,47GC,147
52GC,53GC,495
52GC,54GC,339
52GC,55GC,164
52GI,10GI,204
52GI,24GI,160
52GP,51GP,307
52GP,53GP,103
52GP,54GP,293
52GR,35GR,236
52GR,67GR,625
52GR,69GR,101
52JA,50JA,254
52JA,51JA,1574
52JA,53JA,553
52LE,01LE,163
52LE,50LE,100
52LE,51LE,278
52LE,53LE,112
52MA,49MA,426
52MA,50MA,113
52MU,51MU,424
52MU,53MU,180
52MU,54Mu,214
52MU,56MU,107
52MU,65MU,465
52PO,16PO,129
52PO,26PO,302
52PO,53PO,268
52PO,59PO,305
52TA,04TA,127
52TA,48TA,345
52TF,01TF,146
52TF,49TF,150
52TF,50TF,373
52TF,51TF,293
52TF,53TF,213
52TF,54TF,358
52TO,71TO,211
52ZA,54ZA,134
52ZA,55ZA,202
52ZA,56ZA,183
52ZA,58ZA,149
52ZA,67ZA,114
53BA,33BA,604
53BI,46BI,454
53BI,51BI,593
53CA,51CA,131
53CA,52CA,251
53CO,39CO,121
53CO,52CO,132
53CO,54CO,162
53CZ,52CZ,582
53CZ,54CZ,443
53CZ,55CZ,150
53CZ,56CZ,389
53CÑ,32CÑ,125
53GC,45GC,510
53GC,46GC,176
53GC,52GC,466
53GC,55GC,101
53GC,56GC,125
53GI,19GI,348
53GP,04GP,106
53GP,20GP,144
53GP,40BI,113
53GP,49GP,142
53GP,50GP,742
53GP,51GP,182
53GP,54GP,213
53GR,41GR,174
53GR,50GR,248
53JA,50JA,112
53JA,51JA,153
53JA,52JA,200
53LE,01LE,111
53LE,03LE,160
53LE,50LE,100
53LE,51LE,236
53LE,52LE,114
53MA,03MA,181
53MA,46MA,954
53MA,79MA,858
53MA,80MA,168
53MU,51MU,120
53MU,52MU,144
53MU,54Mu,281
53MU,57MU,429
53MU,58MU,155
53NA,36NA,120
53NA,37NA,122
53PO,52PO,479
53PO,59PO,176
53PO,60PO,477
53PO,61PO,272
53PO,62PO,102
53TA,03CS,110
53TF,42TF,152
53TF,43TF,149
53TF,49TF,100
53TF,52TF,211
53TF,54TF,399
53TO,036M,203
53TO,095M,114
53ZA,51ZA,211
53ZA,54ZA,207
53ZA,66ZA,354
53ZA,68ZA,454
54BA,19BA,199
54BI,57BI,248
54BI,58BI,193
54CO,01CO,198
54CO,53CO,164
54CZ,52CZ,201
54CZ,53CZ,388
54CZ,56CZ,213
54GC,48GC,340
54GC,49GC,127
54GC,50GC,418
54GC,52GC,312
54GC,55GC,104
54GC,56GC,369
54GI,41GI,184
54GP,32GP,702
54GP,33GP,350
54GP,43GP,151
54GP,50GP,151
54GP,51GP,105
54GP,52GP,233
54GP,53GP,285
54GR,04GR,109
54GR,38GR,295
54GR,62GR,289
54JA,31JA,153
54JA,49JA,192
54JA,50JA,244
54MA,09MA,114
54MA,11MA,146
54MA,25MA,110
54MA,55MA,347
54MA,56MA,572
54Mu,52MU,113
54Mu,53MU,287
54Mu,55MU,144
54Mu,56MU,117
54Mu,58MU,342
54Mu,60MU,119
54Mu,65MU,183
54NA,42NA,108
54NA,48NA,122
54PO,16PO,126
54PO,26PO,243
54PO,52PO,158
54PO,55PO,193
54PO,56PO,398
54PO,58PO,311
54PO,62PO,195
54PO,63PO,119
54TA,23TA,122
54TA,27TA,137
54TA,29TA,115
54TA,35TA,110
54TF,42TF,227
54TF,52TF,310
54TF,53TF,327
54ZA,51ZA,129
54ZA,52ZA,196
54ZA,53ZA,362
54ZA,55ZA,119
54ZA,66ZA,116
54ZA,68ZA,230
55BA,57BA,104
55BA,58BA,113
55BA,61BA,263
55BI,43BI,100
55BI,46BI,271
55BI,52BI,110
55BI,53BI,185
55BI,56BI,107
55CO,02CO,107
55CZ,53CZ,157
55CZ,56CZ,340
55CÑ,11CÑ,105
55GC,52GC,196
55GC,53GC,103
55GC,54GC,106
55GC,56GC,215
55GI,06GI,128
55GR,20GR,154
55JA,01JA,186
55JA,02JA,221
55MA,11MA,213
55MA,54MA,211
55MU,54Mu,284
55MU,56MU,376
55MU,58MU,225
55MU,60MU,1071
55MU,63MU,444
55MU,65MU,251
55NA,04NA,128
55NA,05NA,105
55NA,61NA,291
55NA,62NA,132
55NA,65NA,144
55PO,54PO,305
55PO,58PO,520
55TA,45TA,134
55TF,43TF,831
55TF,56TF,844
55ZA,45ZA,157
55ZA,47ZA,140
55ZA,52ZA,202
55ZA,66ZA,206
56AS,50AS,169
56BA,58BA,103
56BI,43BI,211
56BI,46BI,349
56BI,57BI,131
56BI,58BI,183
56CO,049S,261
56CO,15CO,221
56CZ,52CZ,386
56CZ,53CZ,121
56CZ,55CZ,101
56CÑ,26CÑ,107
56CÑ,74CÑ,303
56GC,38GC,229
56GC,50GC,145
56GC,54GC,275
56GC,55GC,174
56GC,57GC,599
56JA,02JA,172
56MA,25MA,124
56MA,54MA,506
56MA,57MA,146
56MU,52MU,172
56MU,54Mu,171
56MU,55MU,516
56MU,58MU,115
56MU,60MU,465
56MU,65MU,680
56NA,04NA,140
56NA,65NA,280
56PO,16PO,126
56PO,54PO,454
56PO,57PO,251
56PO,58PO,230
56PO,62PO,322
56PO,63PO,611
56TA,24TA,265
56TA,40TA,224
56TA,47TA,169
56TF,29TF,127
56TF,43TF,422
56TF,55TF,565
56TO,017M,202
56TO,70TO,126
56ZA,47ZA,159
56ZA,52ZA,145
56ZA,57ZA,423
57AS,13AS,143
57AS,24AS,122
57AS,28AS,314
57AS,32AS,278
57AS,44AS,196
57AS,46AS,366
57BA,02BA,434
57BA,56BA,108
57BA,58BA,742
57BA,61BA,184
57BI,54BI,348
57BI,56BI,157
57BI,58BI,692
57CO,19CO,319
57CZ,52CZ,257
57CZ,58CZ,188
57CÑ,16CÑ,125
57CÑ,24CÑ,115
57CÑ,51CÑ,133
57GC,06GC,261
57GC,38GC,508
57GC,56GC,605
57GI,44GI,142
57GR,35GR,222
57GR,59GR,165
57GR,67GR,117
57JA,55JA,145
57MA,15MA,160
57MA,56MA,131
57MU,37MU,229
57MU,51MU,188
57MU,53MU,359
57MU,58MU,646
57MU,59MU,620
57MU,63MU,104
57NA,56NA,153
57NA,65NA,105
57PO,56PO,219
57PO,58PO,476
57PO,62PO,220
57PO,63PO,347
57TA,58TA,188
57TA,59TA,148
57TF,03TF,252
57TF,40TF,212
57TF,58TF,393
57ZA,49ZA,172
57ZA,56ZA,367
57ZA,58ZA,132
57ZA,59ZA,109
57ZA,63ZA,104
57ZA,69ZA,130
58BA,02BA,273
58BA,57BA,511
58BA,59BA,104
58BA,61BA,315
58BA,62BA,179
58BA,63BA,403
58BI,09BI,214
58BI,54BI,186
58BI,56BI,104
58BI,57BI,445
58BI,59BI,199
58BI,60BI,209
58CO,07CO,173
58CO,22CO,181
58CO,25CO,122
58CZ,57CZ,195
58CZ,59CZ,165
58CÑ,04PO,161
58CÑ,71CÑ,329
58GI,01GI,221
58GI,02GI,269
58GI,68GI,234
58GI,69GI,586
58GI,72GI,237
58GR,01GR,187
58JA,02JA,185
58MA,41MA,174
58MA,42MA,225
58MA,78MA,243
58MU,37MU,251
58MU,51MU,215
58MU,53MU,111
58MU,54Mu,210
58MU,55MU,119
58MU,57MU,635
58MU,59MU,285
58MU,62MU,398
58MU,63MU,287
58MU,65MU,134
58NA,05NA,328
58PO,54PO,165
58PO,55PO,220
58PO,56PO,128
58PO,57PO,283
58PO,61PO,153
58PO,62PO,257
58TA,14TA,226
58TA,57TA,237
58TF,40TF,460
58TF,57TF,294
58ZA,57ZA,170
58ZA,59ZA,257
59AS,71AS,156
59BA,58BA,121
59BA,61BA,196
59BA,62BA,145
59BA,63BA,126
59BI,51BI,150
59BI,58BI,274
59BI,60BI,106
59BI,61BI,118
59BI,73BI,214
59CO,06CO,252
59CO,24CO,287
59CZ,58CZ,187
59CÑ,16CÑ,546
59CÑ,17CÑ,243
59CÑ,49CÑ,157
59CÑ,50CÑ,499
59CÑ,51CÑ,185
59CÑ,82CÑ,192
59GI,45GI,232
59GR,06GR,128
59GR,13GR,100
59GR,57GR,193
59GR,67GR,175
59MA,60MA,149
59MA,63MA,289
59MA,64MA,147
59MA,65MA,217
59MA,72MA,120
59MA,73MA,139
59MU,51MU,199
59MU,57MU,446
59MU,58MU,222
59NA,60NA,129
59NA,61NA,109
59NA,64NA,217
59NA,65NA,180
59PO,26PO,586
59PO,34PO,130
59PO,52PO,387
59PO,53PO,136
59PO,60PO,110
59TA,57TA,107
59TA,72TA,151
59ZA,09ZA,149
59ZA,25ZA,142
59ZA,57ZA,151
59ZA,58ZA,354
59ZA,67ZA,361
59ZA,69ZA,212
60AS,63AS,234
60AS,69AS,110
60AS,71AS,496
60BA,02BA,176
60BA,61BA,352
60BI,46BI,126
60BI,58BI,566
60BI,59BI,203
60BI,73BI,169
60GR,37GR,217
60MA,59MA,204
60MA,61MA,424
60MU,55MU,568
60MU,56MU,140
60MU,58MU,114
60MU,61MU,572
60MU,63MU,449
60MU,65MU,407
60NA,42NA,101
60NA,59NA,149
60NA,61NA,220
60NA,62NA,121
60NA,63NA,185
60NA,64NA,146
60PO,53PO,472
60PO,59PO,151
60PO,61PO,658
60PO,62PO,186
60TO,51TO,157
60ZA,61ZA,116
60ZA,65ZA,168
61AS,63AS,219
61AS,65AS,212
61AS,66AS,252
61AS,71AS,605
61BA,02BA,354
61BA,55BA,136
61BA,58BA,169
61BA,59BA,172
61BA,60BA,245
61BA,62BA,295
61BA,63BA,149
61BI,59BI,119
61BI,62BI,266
61BI,73BI,463
61CO,15CO,475
61CZ,62CZ,890
61CZ,63CZ,545
61CZ,64CZ,206
61CZ,65CZ,110
61CZ,66CZ,140
61CÑ,05CÑ,236
61CÑ,65CÑ,209
61MA,15MA,133
61MA,60MA,459
61MU,06MU,317
61MU,60MU,605
61MU,64MU,555
61MU,65MU,464
61NA,04NA,155
61NA,05NA,134
61NA,55NA,198
61NA,60NA,200
61NA,62NA,283
61NA,65NA,772
61PO,53PO,172
61PO,58PO,151
61PO,60PO,388
61PO,62PO,571
61TA,62TA,168
61TA,65TA,163
61TA,67TA,508
61ZA,50ZA,185
61ZA,62ZA,262
61ZA,65ZA,135
62AS,67AS,274
62AS,71AS,759
62BA,58BA,128
62BA,59BA,180
62BA,61BA,613
62BA,63BA,518
62BI,61BI,254
62BI,69BI,116
62BI,70BI,194
62BI,73BI,656
62CO,14CO,101
62CO,16CO,308
62CZ,61CZ,531
62CZ,63CZ,229
62CZ,64CZ,227
62CZ,65CZ,105
62CZ,66CZ,200
62CÑ,31CÑ,306
62CÑ,35CÑ,139
62CÑ,36CÑ,339
62CÑ,37CÑ,224
62CÑ,39CÑ,110
62CÑ,41CÑ,525
62CÑ,42CÑ,272
62CÑ,45CÑ,524
62CÑ,51CÑ,102
62GI,51GI,107
62GR,41GR,172
62GR,54GR,406
62GR,66GR,131
62GR,70GR,134
62MA,63MA,336
62MA,64MA,1252
62MA,65MA,167
62MA,67MA,385
62MA,74MA,122
62MU,57MU,149
62MU,58MU,519
62MU,63MU,534
62NA,05NA,260
62NA,41NA,184
62NA,55NA,109
62NA,60NA,187
62NA,61NA,438
62NA,63NA,348
62PO,54PO,182
62PO,56PO,190
62PO,57PO,109
62PO,58PO,308
62PO,61PO,369
62PO,63PO,345
62TA,13TA,111
62TA,61TA,185
62TA,67TA,286
62ZA,61ZA,639
62ZA,63ZA,133
62ZA,65ZA,125
62ZA,69ZA,175
63AS,59AS,161
63AS,60AS,280
63AS,61AS,289
63AS,65AS,272
63AS,69AS,198
63AS,71AS,589
63BA,58BA,413
63BA,59BA,113
63BA,61BA,277
63BA,62BA,416
63BI,64BI,322
63BI,67BI,220
63BI,69BI,521
63CO,17CO,380
63CO,21CO,145
63CO,22CR,229
63CZ,61CZ,517
63CZ,62CZ,416
63CZ,64CZ,621
63CZ,65CZ,492
63CZ,66CZ,183
63GI,18GI,136
63GI,19GI,247
63GI,20GI,147
63GR,43GR,286
63GR,45GR,344
63MA,59MA,686
63MA,62MA,478
63MA,64MA,463
63MA,73MA,199
63MU,54Mu,132
63MU,55MU,245
63MU,57MU,221
63MU,58MU,352
63MU,60MU,463
63MU,62MU,332
63NA,05NA,109
63NA,41NA,498
63NA,60NA,228
63NA,62NA,346
63NA,64NA,202
63NA,66NA,107
63PO,16PO,359
63PO,56PO,447
63PO,57PO,256
63PO,62PO,351
63TA,60TA,112
63TA,64TA,491
63ZA,50ZA,152
63ZA,57ZA,197
63ZA,59ZA,110
63ZA,69ZA,173
64AS,65AS,218
64AS,66AS,289
64AS,68AS,121
64AS,71AS,258
64BA,43BA,128
64BI,63BI,299
64BI,65BI,260
64BI,66BI,125
64BI,67BI,457
64BI,68BI,181
64BI,69BI,135
64CZ,61CZ,198
64CZ,62CZ,550
64CZ,63CZ,643
64CZ,65CZ,525
64CZ,66CZ,505
64CÑ,07CÑ,153
64GR,43GR,136
64MA,59MA,264
64MA,62MA,1511
64MA,63MA,379
64MA,65MA,699
64MA,67MA,183
64MU,06MU,941
64MU,33MU,158
64MU,51MU,158
64MU,61MU,426
64MU,65MU,404
64NA,40NA,102
64NA,42NA,307
64NA,59NA,167
64NA,60NA,167
64NA,63NA,148
64NA,65NA,328
64PO,22PO,181
64TA,13TA,126
64TA,32TA,357
64TO,18TO,152
64TO,20TO,157
64ZA,46ZA,187
64ZA,65ZA,733
64ZA,69ZA,109
64ZA,74ZA,272
64ZA,75ZA,152
65AS,61AS,229
65AS,63AS,289
65AS,64AS,236
65AS,66AS,198
65AS,69AS,147
65AS,71AS,280
65BA,42BA,128
65BA,43BA,534
65BA,44BA,266
65BI,26BI,209
65BI,30BI,232
65BI,64BI,228
65BI,66BI,625
65BI,67BI,123
65CO,11CO,143
65CZ,61CZ,107
65CZ,62CZ,185
65CZ,63CZ,399
65CZ,64CZ,344
65CZ,66CZ,282
65CÑ,61CÑ,289
65GI,51GI,309
65GR,38GR,127
65GR,66GR,357
65GR,67GR,127
65GR,69GR,407
65MA,59MA,230
65MA,62MA,162
65MA,64MA,810
65MA,66MA,335
65MA,72MA,283
65MU,06MU,260
65MU,51MU,468
65MU,52MU,182
65MU,54Mu,140
65MU,56MU,277
65MU,60MU,352
65MU,61MU,268
65MU,64MU,266
65NA,04NA,282
65NA,40NA,341
65NA,55NA,176
65NA,56NA,388
65NA,59NA,277
65NA,60NA,106
65NA,61NA,1104
65NA,64NA,572
65TA,13TA,108
65TA,19TA,154
65TA,32TA,478
65TA,61TA,246
65TA,67TA,268
65TO,38TO,107
65ZA,48ZA,126
65ZA,60ZA,114
65ZA,61ZA,153
65ZA,64ZA,515
65ZA,69ZA,242
65ZA,75ZA,182
66AS,68AS,213
66AS,71AS,151
66BI,25BI,180
66BI,30BI,266
66BI,64BI,270
66BI,65BI,1435
66BI,67BI,411
66BI,68BI,569
66CO,20CO,366
66CZ,62CZ,148
66CZ,63CZ,103
66CZ,64CZ,208
66CZ,65CZ,247
66CÑ,04PO,224
66GI,47GI,232
66GR,34GR,148
66GR,38GR,399
66GR,50GR,173
66GR,54GR,161
66GR,62GR,157
66GR,65GR,435
66GR,68GR,842
66GR,69GR,117
66GR,70GR,320
66MA,65MA,559
66MA,68MA,842
66MA,69MA,373
66MA,72MA,284
66MA,73MA,120
66MU,20MU,122
66MU,32MU,136
66NA,45NA,151
66TA,13TA,119
66TA,32TA,124
66TA,67TA,162
66ZA,25ZA,212
66ZA,45ZA,102
66ZA,53ZA,331
66ZA,55ZA,167
66ZA,68ZA,349
66ZA,70ZA,268
67AS,62AS,215
67AS,71AS,616
67BI,63BI,275
67BI,64BI,678
67BI,65BI,192
67BI,66BI,265
67BI,68BI,650
67BI,69BI,261
67CZ,69CZ,171
67GI,68GI,261
67GR,06GR,179
67GR,34GR,175
67GR,52GR,465
67GR,57GR,151
67GR,59GR,125
67GR,65GR,113
67GR,66GR,143
67GR,69GR,970
67MA,62MA,354
67MA,64MA,137
67MA,69MA,272
67MA,71MA,107
67MU,68MU,395
67TA,13TA,103
67TA,32TA,162
67TA,61TA,214
67TA,62TA,137
67TA,66TA,123
67ZA,59ZA,327
67ZA,68ZA,231
68AS,64AS,103
68AS,66AS,685
68AS,71AS,125
68BI,25BI,273
68BI,63BI,105
68BI,64BI,294
68BI,66BI,393
68BI,67BI,724
68BI,69BI,352
68BI,71BI,262
68CZ,67CZ,262
68CZ,69CZ,157
68CZ,73CZ,126
68CÑ,28CÑ,163
68CÑ,44PO,117
68CÑ,45PO,110
68CÑ,73CÑ,273
68GI,58GI,168
68GI,67GI,370
68GI,69GI,717
68GR,38GR,383
68GR,50GR,106
68GR,66GR,832
68GR,70GR,576
68MA,62MA,104
68MA,66MA,322
68MA,69MA,471
68MA,70MA,149
68MA,72MA,128
68MA,73MA,293
68MA,74MA,140
68MA,76MA,240
68MU,08MU,164
68MU,23MU,120
68MU,25MU,396
68MU,33MU,202
68MU,67MU,448
68TA,70TA,543
68TA,71TA,271
68ZA,25ZA,103
68ZA,53ZA,305
68ZA,54ZA,133
68ZA,66ZA,209
68ZA,67ZA,213
69AS,60AS,161
69AS,63AS,208
69AS,65AS,109
69AS,70AS,155
69AS,71AS,283
69BI,63BI,448
69BI,64BI,108
69BI,67BI,159
69BI,68BI,179
69BI,70BI,450
69BI,71BI,158
69BI,73BI,146
69CZ,67CZ,725
69CZ,68CZ,115
69CZ,71CZ,123
69CZ,73CZ,317
69CÑ,04CÑ,207
69GI,58GI,409
69GI,67GI,147
69GI,68GI,724
69GI,70GI,171
69GI,72GI,151
69GR,34GR,168
69GR,65GR,404
69GR,66GR,134
69GR,67GR,868
69MA,66MA,126
69MA,67MA,318
69MA,68MA,377
69MA,70MA,233
69MA,71MA,110
69TA,68TA,107
69TA,70TA,228
69ZA,56ZA,137
69ZA,57ZA,233
69ZA,59ZA,235
69ZA,62ZA,121
69ZA,63ZA,177
69ZA,64ZA,126
69ZA,65ZA,417
69ZA,75ZA,338
70AS,60AS,181
70AS,69AS,146
70AS,71AS,439
70BI,62BI,188
70BI,69BI,459
70BI,71BI,168
70BI,72BI,127
70BI,73BI,326
70CZ,67CZ,151
70CÑ,16CÑ,298
70GI,61GI,106
70GI,69GI,123
70GI,72GI,148
70GR,66GR,223
70GR,68GR,330
70MA,69MA,159
70MA,77MA,144
70TA,68TA,384
70TA,69TA,182
70TA,71TA,373
70TA,72TA,354
70TO,10TO,221
70TO,56TO,118
70ZA,45ZA,113
70ZA,66ZA,266
70ZA,71ZA,379
70ZA,72ZA,115
70ZA,75ZA,120
71AS,60AS,185
71AS,61AS,225
71AS,62AS,268
71AS,63AS,192
71AS,66AS,161
71AS,67AS,239
71AS,70AS,106
71BI,68BI,332
71BI,69BI,456
71BI,70BI,358
71BI,72BI,938
71BI,73BI,122
71CZ,67CZ,178
71CZ,70CZ,122
71CZ,72CZ,118
71CÑ,58CÑ,393
71MA,26MA,464
71MA,32MA,138
71MA,70MA,107
71MA,78MA,133
71TA,01TA,136
71TA,33TA,288
71TA,36TA,146
71TA,42TA,111
71TA,68TA,202
71TA,70TA,419
71TA,72TA,451
71TO,33TO,304
71TO,52TO,200
71TO,72TO,223
71TO,73TO,210
71ZA,45ZA,174
71ZA,70ZA,393
71ZA,72ZA,548
71ZA,73ZA,299
71ZA,75ZA,175
72AS,08AS,141
72AS,21AS,313
72AS,40AS,654
72AS,73AS,353
72BI,68BI,121
72BI,69BI,102
72BI,70BI,201
72BI,71BI,699
72BI,73BI,364
72CZ,67CZ,102
72CÑ,28CÑ,302
72CÑ,44PO,164
72GI,58GI,119
72GI,69GI,118
72MA,59MA,182
72MA,65MA,302
72MA,66MA,174
72MA,68MA,158
72MA,73MA,397
72TA,59TA,267
72TA,70TA,580
72TA,71TA,227
72TO,32TO,202
72TO,33TO,1183
72TO,71TO,449
72TO,73TO,335
72ZA,70ZA,123
72ZA,71ZA,478
72ZA,73ZA,401
72ZA,75ZA,186
73AS,08AS,711
73AS,21AS,198
73AS,40AS,273
73AS,72AS,388
73BI,03BI,108
73BI,59BI,222
73BI,61BI,441
73BI,62BI,698
73BI,69BI,121
73BI,70BI,410
73BI,72BI,338
73CZ,67CZ,229
73CZ,69CZ,144
73CÑ,15PO,131
73CÑ,20PO,332
73CÑ,68CÑ,135
73MA,59MA,193
73MA,68MA,215
73MA,72MA,426
73MA,74MA,428
73TA,59TA,248
73TO,71TO,414
73TO,72TO,281
73ZA,45ZA,743
73ZA,46ZA,134
73ZA,71ZA,318
73ZA,72ZA,335
73ZA,74ZA,387
73ZA,75ZA,198
74BI,27BI,259
74BI,37BI,207
74BI,44BI,115
74BI,75BI,345
74CÑ,26CÑ,270
74CÑ,56CÑ,360
